id;name;description;type;volume;unit;enable
1;Intuitive Pants deposit;Tasty Account Northern;solid Shilling;33063;Ergonomic Rhode;5805
2;morph Maryland Florida;Herzegovina matrix;Phased Response;79047;Handcrafted;95955
3;SAS Dynamic;Configuration tan Myanmar;deposit;68668;up;75578
4;Accountability Norwegian;engage gold Bedfordshire;Human Soft;91668;Kids;96649
5;bluetooth;Rest driver;Manager;18103;Jewelery Verde Kwacha;41327
6;cohesive;generating Ethiopian;facilitate sensor input;21501;Burgs;7290
7;Iowa;Supervisor SCSI;Towels Incredible optical;99700;Legacy;1955
8;Web;maximize;executive;23542;Strategist transmit;54346
9;incubate;calculating Hryvnia;compress maroon;40547;transmit;30604
10;Games;Avon function Borders;customized;27616;Checking withdrawal program;18864
