id;code;name;geo_json;area;descriptions;enable;latitude;longitude
1;Regional;Sausages;Accountability Steel;61359;repurpose Incredible;27804;38878;27998
2;Colorado Cambridgeshire morph;benchmark;Sports orange;87821;e-services Granite quantify;25048;86253;55884
3;action-items backing;Central Small;Central Plastic;6324;Product Executive extranet;85166;1090;2723
4;AI compress Florida;Horizontal;sensor Ball District;4575;Practical;35434;63950;44011
5;interface Vision-oriented system;Orchestrator monitoring generating;cross-platform architectures;40012;Knolls Global;88132;23502;21852
6;withdrawal;Global Handmade;Incredible Ball;40662;Tuna parsing GB;17703;375;2940
7;magenta Bedfordshire;deposit Profound Gloves;mobile relationships Car;83474;Decentralized;90375;1492;95663
8;Borders;array Dynamic interface;drive Borders Cotton;46031;Berkshire;77769;43643;51476
9;experiences;matrix;Cambridgeshire Canada Table;86638;Principal;57406;32456;5412
10;Steel Virgin multi-byte;Georgia;wireless;41696;Configuration;38476;70738;67379
