id;crops;total_cost;crop_yields;enable;volume;unit;done;start_at;end_at
1;online Dollar;23627;83766;30075;35108;transmitter Data Dynamic;77581;2022-11-18;2022-11-18
2;teal;9149;49668;37261;76742;Forward Garden Illinois;53751;2022-11-18;2022-11-18
3;Steel application Hat;43273;48715;66955;32899;Refined robust;90994;2022-11-18;2022-11-18
4;Borders Tennessee;99123;85815;95987;4784;Home;74518;2022-11-18;2022-11-18
5;Steel time-frame;66712;20141;83671;15137;synergistic;87462;2022-11-18;2022-11-18
6;cohesive Bacon;95418;34312;70243;27727;disintermediate solution open-source;94017;2022-11-18;2022-11-18
7;Fresh Electronics maroon;57287;59502;55042;40982;Auto Chips;48123;2022-11-18;2022-11-18
8;Buckinghamshire XSS;31806;15666;90368;87104;magenta Kroon enable;34690;2022-11-18;2022-11-18
9;holistic;75931;42370;63349;44316;Industrial Minnesota;72113;2022-11-18;2022-11-18
10;Avon program;86849;70188;41306;66997;infomediaries;24850;2022-11-18;2022-11-18
