id;title;description;enable;start_date;end_date
1;withdrawal Avon rich;payment matrices payment;2129;2022-11-18;2022-11-17
2;deposit;bifurcated virtual;11500;2022-11-17;2022-11-18
3;Stream Human state;Quality proactive;90672;2022-11-18;2022-11-18
4;Pizza synthesizing Pa'anga;Squares optical;46099;2022-11-18;2022-11-18
5;Movies bypass Avon;Orchestrator integrate;72381;2022-11-18;2022-11-18
6;TCP ADP Executive;Engineer navigate;47173;2022-11-18;2022-11-18
7;Technician;Legacy THX;8133;2022-11-18;2022-11-18
8;Florida;mission-critical copying;25448;2022-11-18;2022-11-18
9;parse York;Vision-oriented;38586;2022-11-18;2022-11-18
10;Bike enhance;GB Toys;97663;2022-11-18;2022-11-18
