id;total;price;type;descriptions;created_at
1;2849;59208;approach Polarised;Facilitator;2022-11-17T23:42:43
2;95136;29433;needs-based Operations;Shirt red;2022-11-18T04:49:15
3;38347;39660;internet;Strategist embrace didactic;2022-11-18T20:54:39
4;36557;97190;Automotive;Loan Strategist;2022-11-18T05:13:00
5;3847;51084;Re-contextualized multi-state withdrawal;scalable Course;2022-11-17T23:40:47
6;82194;78429;cross-platform;Tools;2022-11-18T04:45:45
7;8602;55302;Bedfordshire JBOD;deliver Forest Fantastic;2022-11-18T16:43:40
8;16350;39242;transmit;synthesizing;2022-11-18T10:53:42
9;20716;67007;overriding Clothing full-range;invoice Soap connect;2022-11-18T20:01:43
10;86056;90732;Montana drive SSL;mesh;2022-11-18T01:02:17
