id;name;area;description;latitude;longitude;enable
1;Buckinghamshire back-end Som;61936;Somoni;86827;84148;90093
2;Points synergistic TCP;54144;Marketing Mandatory streamline;72380;11181;21960
3;Manager Fish;65894;Franc GB Fresh;46356;40570;16014
4;Cambridgeshire Assurance Handcrafted;73155;Roads Multi-channelled Pennsylvania;88662;46616;56843
5;seamless Maryland loyalty;25800;SDD bandwidth-monitored Marketing;66787;44138;76102
6;input indexing;22624;explicit;69902;73225;46408
7;architect;65847;Investment International;69153;71609;41702
8;Causeway indexing Soft;26930;programming Avon systemic;5081;73499;24731
9;connect Administrator;18343;Shoes Loan Account;16739;33010;98404
10;SDD Corners;46097;Associate SAS Run;33567;94069;29314
